#N S_wide S_narrow rel_err_wide rel_err_narrow
43600 0.9430025907 0.9442087156 -0.0016035655 -0.0003265905
44100 0.9735363351 0.9440192744 0.0307237916 -0.0005271598
44600 0.9432215757 0.9442825112 -0.0013717169 -0.0002484599
45100 0.9582016479 0.9430986696 0.0144883145 -0.0015018427
45600 0.9430045467 0.9500822368 -0.0016014946 0.0058919531
46100 0.9490154403 0.9475596529 0.0047624908 0.0032211876
46600 0.9315308377 0.9444742489 -0.0137491920 -0.0000454592
47100 0.9517785327 0.9444002123 0.0076878927 -0.0001238448
47600 0.9513804470 0.9418329832 0.0072664227 -0.0028418781
48100 0.9390653565 0.9389812890 -0.0057720807 -0.0058610865
48600 0.9406066514 0.9441100823 -0.0041402470 -0.0004310177
49100 0.9215238439 0.9432281059 -0.0243440166 -0.0013648031
49600 0.9753497684 0.9448084677 0.0326437496 0.0003083923
50100 0.9396124210 0.9452844311 -0.0051928805 0.0008123147
50600 0.9547291217 0.9413784585 0.0108118052 -0.0033231025
51100 0.9507145473 0.9454256360 0.0065614067 0.0009618143
51600 0.9411253701 0.9436531008 -0.0035910578 -0.0009148432
52100 0.9089543999 0.9440259117 -0.0376518146 -0.0005201326
52600 0.9385742658 0.9419439163 -0.0062920191 -0.0027244285
53100 0.9582986740 0.9452212806 0.0145910400 0.0007454546
53600 0.9569774123 0.9414878731 0.0131921648 -0.0032072606
54100 0.9402257914 0.9443391867 -0.0045434795 -0.0001884552
54600 0.9442580031 0.9455128205 -0.0002744077 0.0010541202
55100 0.9365716452 0.9436252269 -0.0084122776 -0.0009443545
55600 0.9643449603 0.9462679856 0.0209924972 0.0018536452
56100 0.9342608723 0.9462566845 -0.0108587899 0.0018416802
56600 0.9567543687 0.9433966431 0.0129560192 -0.0011863657
57100 0.9492278100 0.9469570928 0.0049873355 0.0025832319
57600 0.9612424351 0.9466796875 0.0177077236 0.0022895312
58100 0.9243559211 0.9460413081 -0.0213455775 0.0016136522
58600 0.9398617779 0.9463097270 -0.0049288759 0.0018978385
59100 0.9388194568 0.9442258883 -0.0060324250 -0.0003084090
59600 0.9360002703 0.9460360738 -0.0090172161 0.0016081104
60100 0.9424486535 0.9437188020 -0.0021900421 -0.0008452826
60600 0.9576143484 0.9464315182 0.0138665159 0.0020267839
61100 0.9470728839 0.9493044190 0.0027058247 0.0050684447
61600 0.9526430621 0.9490259740 0.0086032063 0.0047736433
62100 0.9538965278 0.9422705314 0.0099303030 -0.0023786274
62600 0.9518685506 0.9440295527 0.0077831985 -0.0005162777
63100 0.9458667611 0.9447305864 0.0014288520 0.0002259360
63600 0.9546342616 0.9489386792 0.0107113728 0.0046812206
64100 0.9500695729 0.9428627145 0.0058785452 -0.0017516583
64600 0.9342882354 0.9459945820 -0.0108298193 0.0015641813
65100 0.9393584510 0.9460637481 -0.0054617693 0.0016374103
65600 0.9562076400 0.9458269817 0.0123771745 0.0013867358
66100 0.9501512597 0.9437594554 0.0059650305 -0.0008022411
66600 0.9440398382 0.9432432432 -0.0005053881 -0.0013487766
67100 0.9574347897 0.9424180328 0.0136764095 -0.0022224615
67600 0.9446004283 0.9455436391 0.0000881322 0.0010867490
68100 0.9510847244 0.9445668135 0.0069533288 0.0000525428
68600 0.9665447116 0.9448797376 0.0233214662 0.0003838487
69100 0.9585660240 0.9425651230 0.0148740948 -0.0020667309
69600 0.9392477322 0.9441091954 -0.0055789919 -0.0004319567
70100 0.9279716359 0.9383024251 -0.0175174685 -0.0065798282
70600 0.9686332055 0.9447592068 0.0255326424 0.0002562377
71100 0.9515660212 0.9442862166 0.0074628979 -0.0002445369
71600 0.9662390985 0.9441689944 0.0229979009 -0.0003686449
72100 0.9352667820 0.9439320388 -0.0097937910 -0.0006195198
72600 0.9537335024 0.9421487603 0.0097577012 -0.0025075516
73100 0.9452150511 0.9486662107 0.0007388591 0.0043927467
73600 0.9406430725 0.9430536685 -0.0041016865 -0.0015494873
74100 0.9310158804 0.9450067476 -0.0142943990 0.0005183196
74600 0.9388507697 0.9454088472 -0.0059992727 0.0009440392
75100 0.9482642593 0.9419274301 0.0039671839 -0.0027418832
75600 0.9535666416 0.9460317460 0.0095810387 0.0016035284
76100 0.9471736658 0.9411793693 0.0028125268 -0.0035338866
76600 0.9645983454 0.9423629243 0.0212607667 -0.0022808072
77100 0.9350147614 0.9446498054 -0.0100606157 0.0001404099
77600 0.9708354577 0.9456024485 0.0278642593 0.0011490130
78100 0.9271506862 0.9451664533 -0.0183866424 0.0006874066
78600 0.9536599009 0.9466921120 0.0096797763 0.0023026855
79100 0.9641015731 0.9455752212 0.0207348130 0.0011201864
79600 0.9439998592 0.9415672111 -0.0005477154 -0.0031232622
80100 0.9485454743 0.9424625468 0.0042649180 -0.0021753327
80600 0.9601513921 0.9425868486 0.0165525905 -0.0020437291
81100 0.9253411521 0.9445129470 -0.0203024721 -0.0000044879
81600 0.9387341812 0.9480238971 -0.0061227098 0.0037127023
82100 0.9498325517 0.9429811206 0.0056276009 -0.0016262968
82600 0.9431413488 0.9456567797 -0.0014566565 0.0012065358
83100 0.9337228286 0.9466155235 -0.0114284393 0.0022215981
83600 0.9447683313 0.9461722488 0.0002658982 0.0017522846
84100 0.9496711875 0.9458828775 0.0054567579 0.0014459151
84600 0.9371633418 0.9451536643 -0.0077858235 0.0006738664
85100 0.9434241917 0.9460928320 -0.0011571988 0.0016682026
85600 0.9592658911 0.9462908879 0.0156150734 0.0018778927
86100 0.9235464573 0.9444396051 -0.0222025908 -0.0000821380
86600 0.9397690540 0.9429561201 -0.0050270466 -0.0016527659
87100 0.9569216021 0.9421928817 0.0131330762 -0.0024608384
87600 0.9511267709 0.9432505708 0.0069978452 -0.0013410186
88100 0.9401007514 0.9436861521 -0.0046758646 -0.0008798504
88600 0.9469755451 0.9420428894 0.0026027680 -0.0026196416
89100 0.9503906192 0.9468995511 0.0062184504 0.0025223100
89600 0.9295707447 0.9466936384 -0.0158244248 0.0023043016
90100 0.9209592717 0.9457547170 -0.0249417529 0.0013102261
90600 0.9478546014 0.9464403974 0.0035334620 0.0020361847
91100 0.9289922447 0.9416712404 -0.0164369071 -0.0030131220
91600 0.9413277706 0.9444186681 -0.0033767679 -0.0001043049
92100 0.9404398396 0.9425081433 -0.0043168578 -0.0021270577
92600 0.9240228784 0.9463822894 -0.0216981838 0.0019746634
93100 0.9403634186 0.9454350161 -0.0043977678 0.0009717454
