#type size quick intro
0 30300 7696 6359
0 30400 7681 6349
0 30500 7615 6544
0 30600 7373 6468
0 30700 7608 6492
0 30800 7483 6529
0 30900 7465 6548
0 31000 7391 6555
0 31100 8737 6530
0 31200 7417 6463
0 31300 7819 6665
0 31400 7672 6893
0 31500 7784 7058
0 31600 7685 6661
0 31700 7744 6871
0 31800 8245 6985
0 31900 8020 6908
0 32000 8044 6933
0 32100 8208 7006
0 32200 7849 7087
0 32300 8299 7394
0 32400 8651 7478
0 32500 8976 7133
0 32600 8490 7277
0 32700 8396 13193
0 32800 8763 7253
0 32900 8494 7094
0 33000 8728 7539
0 33100 8266 6856
0 33200 8286 6888
0 33300 8160 6903
0 33400 8473 7628
0 33500 8152 7092
0 33600 8218 7285
0 33700 8272 7066
0 33800 10237 7627
0 33900 8532 7361
0 34000 8302 7219
0 34100 8303 7309
0 34200 8235 7135
0 34300 8357 7358
0 34400 8393 7177
0 34500 8489 7569
0 34600 8397 7247
0 34700 8351 7226
0 34800 8504 7592
0 34900 9052 7719
0 35000 9084 7405
0 35100 8610 7266
0 35200 8510 7368
0 35300 8455 7450
0 35400 8457 7401
0 35500 8577 7462
0 35600 8700 7417
0 35700 9025 7499
0 35800 9055 7442
0 35900 8785 7645
0 36000 8942 7818
0 36100 8775 7729
0 36200 9161 7830
0 36300 8725 8011
0 36400 8768 7618
0 36500 8918 8142
0 36600 8862 7592
0 36700 9013 7619
0 36800 9035 7876
0 36900 8905 7788
0 37000 9237 7976
0 37100 8962 7846
0 37200 9013 8518
0 37300 11060 7928
0 37400 9339 7876
0 37500 9123 8073
0 37600 9454 7898
0 37700 9217 8094
0 37800 9169 8214
0 37900 9604 8016
0 38000 9388 8238
0 38100 9471 7951
0 38200 9239 8066
0 38300 9176 8045
0 38400 9245 8266
0 38500 9722 8501
0 38600 9716 8385
0 38700 9538 8207
0 38800 9779 8199
0 38900 9778 8175
0 39000 9414 8248
0 39100 9927 9196
0 39200 9835 8385
0 39300 9405 8200
0 39400 9699 8199
0 39500 9918 8325
0 39600 9500 8295
0 39700 9691 8467
0 39800 9733 8958
0 39900 9919 8584
0 40000 9634 8331
0 40100 9782 8423
0 40200 9713 8488
0 40300 10223 8644
0 40400 9951 8798
0 40500 9894 8626
0 40600 10169 8818
0 40700 9985 9111
0 40800 10082 8756
0 40900 9897 8638
0 41000 10079 8985
0 41100 10039 9064
0 41200 9940 8937
0 41300 10139 8624
0 41400 9955 8828
0 41500 10402 8678
0 41600 10336 9192
0 41700 10531 8940
0 41800 10259 9226
0 41900 10303 8980
0 42000 10241 9020
0 42100 10387 8792
0 42200 10455 8885
0 42300 10354 8864
0 42400 10881 9355
0 42500 10656 9137
0 42600 10274 8854
0 42700 11253 8966
0 42800 10348 8885
0 42900 10395 9171
0 43000 10433 9100
0 43100 10379 9018
0 43200 10536 9466
0 43300 10779 9368
0 43400 10790 9103
0 43500 10751 9286
0 43600 10871 9424
0 43700 10931 9435
0 43800 10922 9589
0 43900 10861 9212
0 44000 10640 9536
0 44100 10858 10093
0 44200 10957 9329
0 44300 10653 9366
0 44400 11046 9566
0 44500 11164 9563
0 44600 10951 9606
0 44700 11747 9565
0 44800 11024 9584
0 44900 10935 9658
0 45000 10944 9467
0 45100 11046 9634
0 45200 11318 9724
0 45300 11224 9612
0 45400 11542 9874
0 45500 11498 9511
0 45600 11178 9884
0 45700 11355 10475
0 45800 11519 9689
0 45900 11439 9724
0 46000 11086 9666
0 46100 11207 9947
0 46200 11585 9855
0 46300 11619 11483
0 46400 11693 10025
0 46500 13005 10001
0 46600 11326 9761
0 46700 11302 9801
0 46800 11702 9978
0 46900 12697 10803
0 47000 12746 10751
0 47100 12085 10003
0 47200 11596 10243
0 47300 11899 9850
0 47400 11424 10239
0 47500 11879 10015
0 47600 11784 10098
0 47700 12173 10503
0 47800 12024 10505
0 47900 11706 11030
0 48000 13680 10115
0 48100 11943 10519
0 48200 12140 10644
0 48300 11843 10179
0 48400 12059 10361
0 48500 12341 10473
0 48600 12455 10145
0 48700 11828 10829
0 48800 12063 10250
0 48900 11999 10503
0 49000 12018 10646
0 49100 12164 10388
0 49200 12595 11249
0 49300 13428 11132
0 49400 12485 10729
0 49500 12264 10574
0 49600 12258 11271
0 49700 12879 11013
0 49800 12956 12079
0 49900 13106 11639
0 50000 13925 11839
0 50100 13228 12034
0 50200 13860 10890
0 50300 13213 11116
0 50400 12713 11240
0 50500 13123 11399
0 50600 13055 11124
0 50700 12807 10705
0 50800 16128 10732
0 50900 12964 12352
0 51000 12366 10879
0 51100 12266 10840
0 51200 13039 10807
0 51300 12477 10779
0 51400 13019 11077
0 51500 15018 10859
0 51600 12617 10975
0 51700 12545 10890
0 51800 13272 11346
0 51900 12691 11522
0 52000 13177 11374
0 52100 13718 11412
0 52200 13133 11374
0 52300 12771 11264
0 52400 13554 11653
0 52500 13764 11162
0 52600 13350 11459
0 52700 13358 11357
0 52800 17649 13505
0 52900 13083 11421
0 53000 13148 11304
0 53100 13539 11533
0 53200 14194 12658
0 53300 13354 14117
0 53400 13549 11467
0 53500 13448 11342
0 53600 13131 11867
0 53700 13196 11347
0 53800 13350 11412
0 53900 13209 11696
0 54000 12946 11622
0 54100 14050 12137
0 54200 15097 12683
0 54300 14904 12830
0 54400 14674 12353
0 54500 15394 12349
0 54600 14598 12637
0 54700 14498 13098
0 54800 15192 12710
0 54900 15359 13519
0 55000 14830 12651
0 55100 14920 13885
0 55200 14164 12362
0 55300 13812 11779
0 55400 13752 11844
0 55500 14002 12029
0 55600 14031 11692
0 55700 13533 11776
0 55800 14179 11974
0 55900 14242 12236
0 56000 13826 11694
0 56100 13591 11938
0 56200 13699 12067
0 56300 13918 12124
0 56400 15519 11961
0 56500 13855 13104
0 56600 16814 12900
0 56700 15308 12534
0 56800 13850 12033
0 56900 13904 11896
0 57000 13999 12164
0 57100 14356 12372
0 57200 14476 12668
0 57300 14851 14041
0 57400 14452 12860
0 57500 14872 12434
0 57600 14660 13098
0 57700 15047 12401
0 57800 14654 12980
0 57900 14384 12635
0 58000 14285 12329
0 58100 14193 12796
0 58200 14323 12340
0 58300 14469 16823
0 58400 14819 13514
0 58500 14720 12415
0 58600 14475 13023
0 58700 14833 13846
0 58800 15529 13607
0 58900 14653 15127
0 59000 15728 13116
0 59100 14414 12565
0 59200 14514 12524
0 59300 14546 12507
0 59400 15877 13332
0 59500 15328 13788
0 59600 14974 12693
0 59700 14643 12692
0 59800 14667 12752
0 59900 14717 15667
0 60000 16939 14520
0 60100 15320 13093
0 60200 15076 13189
0 60300 16147 13207
0 60400 14882 13069
0 60500 14734 13565
0 60600 15192 13925
0 60700 14828 12836
0 60800 15081 12925
0 60900 16095 13054
0 61000 14888 12978
0 61100 15060 13593
0 61200 16726 14550
0 61300 15505 13139
0 61400 14937 13242
0 61500 15123 13703
0 61600 15652 13132
0 61700 15392 13130
0 61800 16039 13331
0 61900 15352 13298
0 62000 15177 13199
0 62100 15201 13287
0 62200 15233 14540
0 62300 15266 13333
0 62400 17339 13779
0 62500 15679 13523
0 62600 15812 13839
0 62700 16094 13933
0 62800 15864 13310
0 62900 15354 14480
0 63000 15639 13643
0 63100 15431 13417
0 63200 15550 14727
0 63300 18765 13771
0 63400 16289 13649
0 63500 16212 14034
0 63600 15829 15605
0 63700 16480 14554
0 63800 16807 14117
0 63900 16297 14478
0 64000 15929 13783
0 64100 15817 13882
0 64200 15767 14815
0 64300 15654 13957
0 64400 15933 13737
0 64500 16295 14149
0 64600 15984 16322
0 64700 19313 15321
0 64800 16827 13912
0 64900 16275 14073
0 65000 16573 14444
0 65100 16456 14047
0 65200 16388 14177
0 65300 16527 14301
0 65400 18293 15315
0 65500 18154 14570
0 65600 16244 14143
0 65700 16152 14670
0 65800 16935 14413
0 65900 17008 15824
0 66000 17455 14703
0 66100 17146 14379
0 66200 16969 14976
0 66300 32392 14962
0 66400 16362 14063
0 66500 16379 14440
0 66600 16294 15658
0 66700 17305 14136
0 66800 16995 14560
0 66900 16893 14620
0 67000 16609 14297
0 67100 16772 14515
0 67200 17432 15586
0 67300 18388 14805
0 67400 18255 15539
0 67500 17876 15389
0 67600 18385 15603
0 67700 17602 14787
0 67800 17801 15302
0 67900 17458 14717
0 68000 17190 14535
0 68100 16664 15477
0 68200 17448 15977
0 68300 17253 14823
0 68400 17139 14919
0 68500 18404 16603
0 68600 17487 15549
0 68700 17014 14767
0 68800 18153 16373
0 68900 18875 16546
0 69000 18822 16664
0 69100 18400 16153
0 69200 18721 15835
0 69300 18630 15805
