#type size merge hybrid_5 hybrid_10 hybrid_20 hybrid_30 hybrid_50
0 14800 9699 7711 7053 6607 6149 6286
0 14900 10515 7883 7274 6932 6506 6741
0 15000 10719 7786 6809 6361 6420 6299
0 15100 9896 7799 7037 6592 6219 6203
0 15200 10133 7761 6789 6632 6156 6188
0 15300 9852 7742 7305 6702 6368 6237
0 15400 10082 7916 7088 6658 6260 6482
0 15500 10254 7659 7177 6467 6596 6320
0 15600 10047 7692 6974 6662 6435 6599
0 15700 10268 7971 7516 6729 6611 6404
0 15800 10149 8163 7110 6842 6805 6633
0 15900 10548 7850 7080 6896 7032 6451
0 16000 10334 7914 7221 6774 6661 6883
0 16100 10544 7970 7425 6981 6860 6710
0 16200 10454 8138 7481 7020 6792 6634
0 16300 10439 8104 7314 6794 7113 6816
0 16400 10516 8107 7324 7120 7448 6711
0 16500 10495 8462 7639 7088 6952 6750
0 16600 10815 8658 7609 7217 7057 6962
0 16700 11413 8366 7649 7018 6980 6875
0 16800 11198 8165 7522 7055 7898 8060
0 16900 11202 8326 7617 9909 7231 7116
0 17000 12169 8483 7759 7526 7303 7395
0 17100 11285 8688 7771 8745 10553 8061
0 17200 13235 9046 8089 7884 10019 8444
0 17300 11785 9232 8104 7445 7556 7262
0 17400 11180 10086 8408 7469 7401 7897
0 17500 11609 8913 7866 8463 7899 10615
0 17600 12233 9090 8031 7543 7925 7374
0 17700 11394 8704 8023 7427 7526 7323
0 17800 11418 8927 8012 7435 7837 7633
0 17900 13936 8908 9062 7684 9091 7769
0 18000 12714 10929 8570 8517 7645 7708
0 18100 13950 9162 8113 7557 9356 9127
0 18200 15653 10680 8301 7874 7638 8334
0 18300 12349 9124 8973 10653 8131 7554
0 18400 11752 9840 8187 7768 7726 7608
0 18500 12322 8979 8639 8547 8315 8906
0 18600 12498 10004 10110 8400 7990 8324
0 18700 13192 9422 8947 8504 8996 8671
0 18800 13397 9986 9231 8033 8922 8613
0 18900 12867 9190 8993 8179 8124 8178
0 19000 12702 9471 8703 8266 9019 8018
0 19100 13285 10888 11176 10299 9302 9041
0 19200 16348 11522 10470 9292 8954 9418
0 19300 15865 11424 9618 9692 12497 8533
0 19400 14942 10073 9044 8592 9146 8900
0 19500 13726 10381 10127 8954 9452 9343
0 19600 13589 10091 9867 8410 8593 8406
0 19700 16529 10037 8912 8796 8662 9513
0 19800 14705 12185 9779 9065 9263 9159
0 19900 15243 10567 9372 8665 8500 8361
0 20000 12903 9780 9046 8609 8753 8696
0 20100 13776 10563 9781 8911 9544 13054
0 20200 16058 10253 9197 8827 8813 8518
0 20300 13237 10173 9218 9218 9485 9893
0 20400 14406 10569 9392 11500 9688 10123
0 20500 15759 10417 9456 8628 8640 8636
0 20600 13273 10841 12047 12300 10657 9480
0 20700 15757 13469 9298 8801 8734 8716
0 20800 13453 10100 9355 8946 8728 8932
0 20900 13806 10607 9478 9019 8825 10037
0 21000 13682 10333 11236 9521 9653 9296
0 21100 14232 11262 9940 9316 8965 8991
0 21200 13818 10642 10186 13246 9394 10222
0 21300 14463 10757 9902 9462 9224 9009
0 21400 13846 10562 9857 12277 10865 12209
0 21500 14434 11318 10686 9632 9191 9251
0 21600 14216 10988 10165 9735 9467 9450
0 21700 14897 11025 10618 10155 9240 9778
0 21800 14514 11511 10568 9759 9278 9313
0 21900 14242 11011 10432 10404 9471 9638
0 22000 14571 11099 10774 10007 9656 9381
0 22100 14823 11278 10650 10782 9374 10017
0 22200 14965 11543 10971 10227 9444 9584
0 22300 14806 11810 10833 9984 9530 9655
0 22400 14626 11434 10764 10151 9556 9995
0 22500 15008 11783 10999 10216 9761 9966
0 22600 15860 11500 11251 10542 9755 10504
0 22700 15206 11973 11300 10206 10597 9762
0 22800 15009 12109 11110 10528 9982 9946
0 22900 15135 11819 11069 10839 9969 9845
0 23000 15297 12264 11054 10221 9783 9959
0 23100 15298 12224 11121 10286 9904 10094
0 23200 15226 11995 11453 10558 9872 9981
0 23300 15512 12599 11554 10813 10103 10183
0 23400 15892 12429 11467 11371 10084 10139
0 23500 15515 12246 11486 10493 10043 10251
0 23600 15657 12340 11603 10878 10072 10413
0 23700 15974 12516 11684 10543 10792 10398
0 23800 15716 12873 11652 10592 10285 10487
0 23900 15713 13265 11640 10730 10453 10478
0 24000 15898 12742 11745 10930 10353 10802
0 24100 16192 13011 12041 11032 10624 10862
0 24200 16408 12796 11930 10928 10414 10708
0 24300 16092 12911 11838 10981 10568 10723
0 24400 16422 13105 11916 11059 10500 10782
0 24500 16625 13133 12132 11241 10649 10820
0 24600 16577 13240 12051 11186 10660 10937
0 24700 16394 13255 12040 11159 10771 10895
0 24800 16566 13356 12112 11232 10947 11217
0 24900 16890 13529 12361 11409 10888 11189
0 25000 16827 13378 12386 11706 10853 11149
0 25100 16692 13543 12288 11306 10899 11239
0 25200 16688 13361 12219 11445 11126 11197
0 25300 16938 13672 12290 11585 11011 11408
0 25400 17114 13869 12676 11382 11375 11330
0 25500 17451 13593 12381 11627 11052 11369
0 25600 17032 13670 12500 11520 14635 12293
0 25700 17082 13681 12454 11490 11167 11304
0 25800 17141 13864 12718 12717 11180 11392
0 25900 18056 14104 12573 11705 11295 11829
0 26000 17323 14073 12783 11763 11270 11405
0 26100 17411 13944 12973 11874 11391 11407
0 26200 17964 14092 12723 11967 11401 11689
0 26300 17779 14042 12972 11871 11733 11707
0 26400 17719 14060 12805 11917 11537 11464
0 26500 17597 14250 12855 12477 11516 11514
0 26600 17956 14366 13024 12093 11711 12138
0 26700 17923 14207 13129 13192 11661 11898
0 26800 18012 14615 13342 12159 11726 11780
0 26900 17839 14577 12958 12373 11704 11658
0 27000 18131 14510 13320 12392 11761 12053
0 27100 18346 14476 13240 15161 12920 11813
0 27200 19089 14502 13394 12313 11846 11841
0 27300 18457 14600 13287 12448 11994 11932
0 27400 18519 14552 13356 12411 12043 11991
0 27500 18606 14760 13765 12539 12019 12063
0 27600 18627 14827 13315 12449 12197 12043
0 27700 18669 14843 13391 12865 12011 12068
0 27800 18615 14747 13416 12618 12181 12186
0 27900 18827 14690 13496 12861 12188 12147
0 28000 18791 14918 13616 12759 12611 12277
0 28100 18991 15049 13774 13074 12426 12602
0 28200 19099 15144 13865 12799 12475 12720
0 28300 19096 15172 13909 12907 12517 12520
0 28400 19268 15319 13864 12847 12505 13357
0 28500 19432 15112 13983 13037 12520 12543
0 28600 19075 15107 13893 13139 12714 12760
0 28700 19284 15172 13727 12937 12722 12740
